"Plot" "Coupe" "ACD" "FACE" "LoggingMethod" "LoggingYear" "Forest" "YearsSinceLogging" "MeasureTime" "Dataset"
"157" "FACE_81" "1982" 68.0442533658567 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"158" "FACE_81" "1982" 56.3158249330168 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"159" "FACE_82" "1982" 138.95354313921 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"160" "FACE_82" "1982" 100.71175775149 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"161" "FACE_83" "1982" 129.109251144449 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"162" "FACE_83" "1982" 130.638468779139 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"163" "FACE_84" "1982" 108.603921716735 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"164" "FACE_84" "1982" 104.12178902756 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"165" "FACE_85" "1982" 160.256254281032 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"166" "FACE_85" "1982" 185.94503409826 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"167" "FACE_86" "1982" 100.538666153843 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"168" "FACE_86" "1982" 101.784671191574 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"171" "FACE_88" "1983" 138.675656891924 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"172" "FACE_88" "1983" 125.603692893135 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"173" "FACE_89" "1982" 100.977476638282 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"174" "FACE_89" "1982" 110.56998464857 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"175" "FACE_90" "1983" 146.557402659761 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"176" "FACE_90" "1983" 160.456558217374 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"177" "FACE_91" "1982" 112.484065940765 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"178" "FACE_91" "1982" 135.181521183939 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"179" "FACE_92" "1982" 110.513098670339 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"180" "FACE_92" "1982" 101.91957525024 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"181" "FACE_93" "1982" 74.8411491169714 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"182" "FACE_93" "1982" 85.1237654741924 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"183" "FACE_94" "1982" 86.2087484650207 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"184" "FACE_94" "1982" 99.3045448762398 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"185" "FACE_95" "1982" 76.7392867547395 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"186" "FACE_95" "1982" 82.4247358926917 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"187" "FACE_96" "1982" 140.056815355629 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"188" "FACE_96" "1982" 123.680482066946 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"189" "FACE_97" "1981" 79.3076376838097 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"190" "FACE_97" "1981" 75.1722665244445 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"191" "FACE_98" "1982" 174.175834170714 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"192" "FACE_98" "1982" 183.483738146184 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"193" "FACE_99" "1982" 110.780812213468 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"194" "FACE_99" "1982" 87.9899061473381 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"195" "FACE_100" "1982" 193.207556996828 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"196" "FACE_100" "1982" 171.831873114512 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"197" "FACE_101" "1983" 157.916452602116 "ProjectScenario" "Tractor" 1983 "Logged" 24 2007 "FACE"
"198" "FACE_101" "1983" 167.119545753193 "ProjectScenario" "Tractor" 1983 "Logged" 27 2010 "FACE"
"199" "FACE_102" "1982" 110.444909173739 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"200" "FACE_102" "1982" 92.3924076394431 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"201" "FACE_103" "1982" 98.3679847455872 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
